标题,开发商,房子信息,发布信息,售价/万,单价
诚心出售 价位包含一个产权车位 房产证满两年,万科银海泊岸 -度假区,4室2厅 | 143平米 | 南 北 | 毛坯 | 中楼层(共12层)  | 板楼,1人关注 / 23天以前发布,220,"15,385元/平"
新上房源，房东诚心出售，满两年，随时看房。,俊发城百合苑 -司家营,3室2厅 | 100平米 | 南 | 精装 | 中楼层(共42层)  | 板塔结合,0人关注 / 8天以前发布,115,"11,500元/平"
"7字头买昆明东南端头3房2卫精装现房,保利翡丽公园",保利阳光城翡丽公园 -经开区,3室1厅 | 98平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 8天以前发布,78,"7,960元/平"
滨江俊园 东南端头 3房带一个储物间 无遮挡,滨江俊园 -白云,3室2厅 | 138.73平米 | 东南 | 精装 | 33层  | 塔楼,0人关注 / 6天以前发布,240,"17,300元/平"
此房满五业主急售。两梯四户长宽阳台,新亚洲体育城水木清华 -新亚洲,4室2厅 | 127.18平米 | 西 | 简装 | 中楼层(共16层)  | 板塔结合,0人关注 / 8天以前发布,112,"8,807元/平"
满两年、户型好、视野开阔、东西通透,春城慧谷 -高新,3室2厅 | 130.03平米 | 东 西 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 2天以前发布,122,"9,383元/平"
时代俊园，184大平层，急卖，高楼层,时代俊园 -呈贡,5室2厅 | 184平米 | 东南 | 毛坯 | 高楼层(共18层)  | 板楼,4人关注 / 9天以前发布,120,"6,522元/平"
小区入住率高，成熟，生活便利，房东自住装修好,俊发盛唐城 -世博,3室2厅 | 114.43平米 | 东 | 精装 | 低楼层(共44层)  | 塔楼,0人关注 / 7天以前发布,135,"11,798元/平"
润城九重锦 4室2厅 东南,润城九重锦 -西山万达,4室2厅 | 146.09平米 | 东南 | 毛坯 | 低楼层(共32层)  | 板塔结合,0人关注 / 10天以前发布,243,"16,634元/平"
三面环山南北 通透，直观白沙河，户型方正，全新精装,美的顺城府 -东白沙河,3室2厅 | 126.64平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 一年前发布,168,"13,266元/平"
万科魅力之城3期精装3房，证满2年，中间楼层,万科魅力之城 -新亚洲,3室2厅 | 81.21平米 | 东 | 精装 | 中楼层(共33层)  | 塔楼,28人关注 / 一年前发布,95,"11,699元/平"
星云园横厅毛坯通透四房中间楼层满2产权清晰,新亚洲体育城星云园 -新亚洲,3室2厅 | 124.23平米 | 东南 南 | 毛坯 | 中楼层(共18层)  | 板塔结合,33人关注 / 一年前发布,117,"9,419元/平"
自贸区 地铁口 精装修三房 中间楼层  采光好 户型好,云大知城三期 -经开区,3室2厅 | 84.99平米 | 南 北 | 精装 | 低楼层(共16层)  | 板塔结合,1人关注 / 1个月以前发布,71,"8,354元/平"
户型房子，采光通风好，业主诚心出售,盛高大城 -南亚,3室2厅 | 122.7平米 | 南 北 | 简装 | 低楼层(共24层)  | 塔楼,2人关注 / 10个月以前发布,160,"13,040元/平"
万科精装修大三房 端头房 视线开阔   带车位  明卫,万科魅力之城 -新亚洲,3室2厅 | 101.19平米 | 西北 | 精装 | 低楼层(共34层)  | 塔楼,0人关注 / 2个月以前发布,124,"12,255元/平"
万科经典大三房，南方房，户型方正，采光采阳好,万科魅力之城 -新亚洲,3室2厅 | 123.46平米 | 东南 | 精装 | 低楼层(共25层)  | 塔楼,0人关注 / 2个月以前发布,138,"11,178元/平"
省委旁带20 平大露台好房小区中间位置急售,凯旋花园北区 -南亚,2室1厅 | 79平米 | 东南 | 精装 | 中楼层(共7层)  | 板楼,6人关注 / 1个月以前发布,135,"17,089元/平"
房子精装修好 业主自住保养好  看房方便,中铁百年印象 -昆船,3室2厅 | 122.76平米 | 东 | 精装 | 中楼层(共18层)  | 板楼,1人关注 / 4个月以前发布,127,"10,346元/平"
恒大云报华府精装两房128万带车位,昆明恒大云报华府 -南亚,2室2厅 | 76.15平米 | 南 | 精装 | 中楼层(共31层)  | 板塔结合,23人关注 / 一年前发布,118,"15,496元/平"
房子房型端正，采光好，房东诚心出售,中铁百年印象 -昆船,3室2厅 | 115.48平米 | 东南 | 精装 | 中楼层(共18层)  | 塔楼,0人关注 / 3个月以前发布,118,"10,219元/平"
东泰花园标准四房两卫 在17层总高18层 有钥匙方便看房,东泰花园一区 -经开区,4室2厅 | 126.88平米 | 南 北 | 简装 | 高楼层(共18层)  | 板楼,2人关注 / 1个月以前发布,112,"8,828元/平"
房东儿子异地买房，此房诚心出售,润城七区 -西山万达,2室2厅 | 87.79平米 | 东北 | 简装 | 高楼层(共33层)  | 塔楼,19人关注 / 一年前发布,96,"10,936元/平"
南北  通透，一梯两户板楼，户型好，阳光充足,枫林盛景(东区) -新亚洲,4室2厅 | 140.05平米 | 东南 | 精装 | 低楼层(共14层)  | 板楼,4人关注 / 3个月以前发布,118,"8,426元/平"
北京路盘龙江绿城春江明月两室一厅,绿城春江明月 -红云,2室1厅 | 82平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,3人关注 / 一年前发布,110,"13,415元/平"
滇池路 地铁口 全明户型 三室两厅 小区中间位置好,怡康温泉新村 -南亚,3室2厅 | 73.44平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,75,"10,213元/平"
北市区 和谐世纪 精装3房 错层 拎包入住,和谐世纪 -红云,3室2厅 | 117平米 | 东南 | 精装 | 中楼层(共31层)  | 塔楼,15人关注 / 一年前发布,115,"9,830元/平"
东南朝向 精装修三居室 证在手 满二,和谐世纪 -红云,3室2厅 | 122.28平米 | 东南 | 精装 | 高楼层(共31层)  | 塔楼,1人关注 / 5个月以前发布,128,"10,468元/平"
中间楼层采光好、紧凑型小3室明厨明卫户型通透朝向好,中铁百年印象 -昆船,3室1厅 | 81.76平米 | 东南 | 简装 | 低楼层(共18层)  | 板楼,1人关注 / 2个月以前发布,72,"8,807元/平"
春风十里不及你，云帆苑精装三室两卫端头房在等你看房,融创春风十里云帆苑 -泛亚,3室2厅 | 96.37平米 | 西南 | 精装 | 中楼层(共34层)  | 板塔结合,0人关注 / 1个月以前发布,123,"12,764元/平"
翠湖边上 四方两厅 4楼 东西通透 文林街,金鸡巷 -翠湖,4室2厅 | 95.52平米 | 东 西 | 简装 | 中楼层(共7层)  | 板楼,16人关注 / 4个月以前发布,168,"17,588元/平"
此房在2楼板房，南北向的房子，楼下就是地铁了,水木山居 -金马,3室2厅 | 117.1平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,2人关注 / 1个月以前发布,110,"9,394元/平"
润城小区精装3房带车位 高楼层视野好 证在手满2,润城 -南亚,3室2厅 | 89.87平米 | 西 | 精装 | 高楼层(共31层)  | 塔楼,0人关注 / 1个月以前发布,125,"13,909元/平"
滇池边四房。房东急售。西亮塘湿地公园旁边,河畔俊园 -新亚洲,4室2厅 | 103.39平米 | 东南 | 毛坯 | 中楼层(共20层)  | 板楼,6人关注 / 一年前发布,133,"12,864元/平"
华都B区 高楼层板楼126三房 看房方便 有钥匙,华都花园B区 -大商汇,3室2厅 | 126.09平米 | 南 | 简装 | 中楼层(共15层)  | 板楼,3人关注 / 7个月以前发布,156,"12,373元/平"
霖雨桥地铁站江东花城小高层满五年急售　明通xiaoxue,江东花城 -北辰,4室2厅 | 147.79平米 | 南 北 | 精装 | 高楼层(共7层)  | 暂无数据,1人关注 / 1个月以前发布,189.8,"12,843元/平"
户型方正 交通方便 采光好 配套成熟 价格可谈,配轮片小区 -方旺,3室1厅 | 53.18平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,2人关注 / 3个月以前发布,39.6,"7,447元/平"
二环内大树营市政二办区好房急售,市政二办区 -金马,3室2厅 | 70.29平米 | 南 | 精装 | 中楼层(共7层)  | 塔楼,4人关注 / 1个月以前发布,77,"10,955元/平"
急售  急售  北市区和谐广场旁 2房 红云 昆八稳定,王家山小区 -红云,2室2厅 | 55.02平米 | 东南 | 精装 | 高楼层(共6层)  | 板塔结合,11人关注 / 5个月以前发布,56,"10,179元/平"
精装修 房子近地铁 1号线，小区环境好 房子采光好,俊发观云海云悠苑 -新螺蛳湾,2室2厅 | 84.88平米 | 南 西南 | 精装 | 高楼层(共32层)  | 塔楼,5人关注 / 6个月以前发布,99,"11,664元/平"
滇池星晨武警小区  广福路边1梯2户  一个证,滇池星晨 -新亚洲,5室2厅 | 161.97平米 | 南 北 | 毛坯 | 低楼层(共16层)  | 板楼,5人关注 / 7个月以前发布,153,"9,447元/平"
北市区天骄北麓小两室中间楼层户型方正，双阳台,天骄北麓 -红云,2室1厅 | 44.9平米 | 西 | 简装 | 中楼层(共34层)  | 塔楼,2人关注 / 2个月以前发布,40,"8,909元/平"
万科公园里 精装端头房 带产权车位 可观滇池 双地铁口,万科公园里 -新螺蛳湾,3室2厅 | 120.71平米 | 西南 南 西 | 精装 | 中楼层(共33层)  | 塔楼,2人关注 / 2个月以前发布,131,"10,853元/平"
彼岸1期   花园洋房   精 装修 好     出售,彼岸一区 -新亚洲,3室2厅 | 127.58平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,22人关注 / 一年前发布,125,"9,798元/平"
房子精装修，楼层优采光好视野开阔，产权清晰,万科公园里 -新螺蛳湾,3室2厅 | 83.3平米 | 东 南 | 精装 | 高楼层(共34层)  | 塔楼,2人关注 / 2个月以前发布,105,"12,606元/平"
万达旁次新小区精装修温馨三居室满二年产权证在手,润城五区 -西山万达,3室2厅 | 89.3平米 | 东南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,135,"15,118元/平"
润城三大道 住宅 南向两室毛坯房 采光好 靠万达,润城第三大道 -西山万达,2室2厅 | 93.07平米 | 南 | 毛坯 | 高楼层(共34层)  | 塔楼,7人关注 / 一年前发布,105,"11,282元/平"
万科三期 价格带车位 包全税 南向三房双卫 采光无遮挡,万科公园里 -新螺蛳湾,3室1厅 | 99.46平米 | 南 | 精装 | 低楼层(共30层)  | 塔楼,9人关注 / 6个月以前发布,113,"11,362元/平"
恒大云报华府南北向户型诚心出售,昆明恒大云报华府 -南亚,3室2厅 | 106.4平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,2人关注 / 4个月以前发布,160,"15,038元/平"
昆明后花园，一楼带花园，精装跃层。,昆华苑 -太平新城,5室3厅 | 265.15平米 | 南 | 精装 | 7层  | 板楼,35人关注 / 11个月以前发布,153,"5,771元/平"
万科翡翠滨江一期，高楼层，128平米，精装修，观滇,万科翡翠滨江一期 -滇池半岛,3室2厅 | 127.79平米 | 西南 | 精装 | 中楼层(共33层)  | 板楼,7人关注 / 2个月以前发布,160,"12,521元/平"
滇池会展、盘龙江边、电梯板式洋房横厅，大三房精装修,金科江湖海 -滇池半岛,3室2厅 | 135.05平米 | 南 | 精装 | 11层  | 板楼,4人关注 / 4个月以前发布,290,"21,474元/平"
满2年，无增值税，看房方便，产权清晰，业主诚心,戛纳小镇 -黑林铺,3室2厅 | 121.24平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,122.8,"10,129元/平"
万达旁边 金地悦天下 标准二房 满两年楼层 好,金地悦天下 -西山万达,2室2厅 | 89.33平米 | 西 | 精装 | 高楼层(共34层)  | 塔楼,11人关注 / 8个月以前发布,122,"13,658元/平"
客厅朝向好，户型通透 ，精装，明厨明卫，采光采阳好,东骧神骏 -金马,2室2厅 | 91.14平米 | 西南 | 精装 | 高楼层(共18层)  | 塔楼,0人关注 / 一年前发布,94,"10,314元/平"
滇池路 地铁口 盛高大城 精装 三室两厅 带书林一,盛高大城 -南亚,3室2厅 | 87.51平米 | 南 | 精装 | 低楼层(共32层)  | 塔楼,1人关注 / 2个月以前发布,115,"13,142元/平"
度假区银海泊岸精装修大三房带着车位 产权清晰满两年,万科银海泊岸江樾 -大商汇,3室2厅 | 135.58平米 | 西北 | 精装 | 中楼层(共12层)  | 板楼,5人关注 / 4个月以前发布,152,"11,212元/平"
急售爱琴海旁，芳草地，带花园优质板房,福康花园北区 -红星,4室2厅 | 160.38平米 | 东南 | 精装 | 低楼层(共11层)  | 板楼,3人关注 / 3个月以前发布,237,"14,778元/平"
房东急卖，价格低于市场价，装修清楚,万科魅力之城 -新亚洲,3室2厅 | 105.73平米 | 北 南 | 精装 | 低楼层(共33层)  | 塔楼,14人关注 / 7个月以前发布,122,"11,539元/平"
万达旁精装修小三房业主诚心出售,润城五区 -西山万达,3室1厅 | 89.04平米 | 东南 | 简装 | 高楼层(共28层)  | 板塔结合,2人关注 / 3个月以前发布,129.8,"14,578元/平"
大横厅设计，满二急卖，带电梯装修很好，随时可以看房,彼岸一区 -新亚洲,3室2厅 | 127.65平米 | 东南 西南 西北 | 精装 | 高楼层(共14层)  | 板楼,9人关注 / 4个月以前发布,128,"10,028元/平"
次新小区品质板房，两梯四户通透户型，楼层好,假日城市芳华 -黑林铺,3室2厅 | 102.65平米 | 东南 | 毛坯 | 高楼层(共32层)  | 板楼,1人关注 / 5个月以前发布,143,"13,931元/平"
盛唐城 精装修三房 户型方正采光好双证在手带车位,俊发盛唐城F区 -世博,3室2厅 | 116.95平米 | 东北 | 精装 | 高楼层(共43层)  | 塔楼,0人关注 / 2个月以前发布,127,"10,860元/平"
百年印象精装3室2厅，户型方正，南向，阳光充足,中铁百年印象 -昆船,3室2厅 | 101.69平米 | 东 | 简装 | 中楼层(共18层)  | 板塔结合,4人关注 / 6个月以前发布,98,"9,638元/平"
地铁口 中间楼层  视野开阔 采光好 精装修,世豪香颂时光 -昆船,3室2厅 | 116.69平米 | 东 南 | 精装 | 中楼层(共25层)  | 塔楼,6人关注 / 一年前发布,114,"9,770元/平"
昆八中旁 红云片区 精装2居室 售价86万产证在手,远洋风景 -红云,2室2厅 | 83.81平米 | 西 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,86,"10,262元/平"
南亚万达旁云报华府精装两室拎包入住,昆明恒大云报华府 -南亚,2室1厅 | 91.3平米 | 东南 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,121,"13,254元/平"
自贸区 地铁口 退台洋房  一梯两户  采光好  视野开阔,云大知城二期 -经开区,3室2厅 | 118.01平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,37人关注 / 8个月以前发布,120,"10,169元/平"
中海品质   精装俩房  央企物业好,中海锦苑 -红云,2室2厅 | 76.47平米 | 东南 | 精装 | 中楼层(共44层)  | 塔楼,1人关注 / 11个月以前发布,90,"11,770元/平"
北京路 中建龙熙壹号 小高层板式住宅一梯两户采光好,中建龙熙壹号 -北部客运站,3室2厅 | 102.69平米 | 南 | 毛坯 | 高楼层(共11层)  | 板楼,6人关注 / 一年前发布,110,"10,712元/平"
吾悦商圈地铁口三房，价格便宜有装修满二年，看房方便,绿地中央广场 -泛亚,3室2厅 | 92.53平米 | 南 | 简装 | 低楼层(共31层)  | 塔楼,0人关注 / 28天以前发布,103,"11,132元/平"
业主诚心出售 看房方便 有钥匙,金博园 -世博,3室2厅 | 131.49平米 | 东南 | 其他 | 低楼层(共7层)  | 板塔结合,0人关注 / 18天以前发布,132,"10,039元/平"
七彩云南第壹城毛坯三房，小区中间位置，房东诚心出售,七彩云南第壹城 -呈贡,3室2厅 | 130.93平米 | 东南 东 | 毛坯 | 34层  | 塔楼,1人关注 / 27天以前发布,154,"11,763元/平"
