标题,开发商,房子信息,发布信息,售价/万,单价
世纪城旁成熟商圈，交通生活便利，房子户型方正,海伦国际里约区 -世纪城,3室2厅 | 124.74平米 | 西北 | 毛坯 | 高楼层(共37层)  | 板塔结合,0人关注 / 16天以前发布,142,"11,384元/平"
枫林盛景一梯两户板楼140平米135万钥匙在手,枫林盛景西区 -新亚洲,4室2厅 | 139.72平米 | 东南 | 毛坯 | 中楼层(共15层)  | 板楼,0人关注 / 16天以前发布,135,"9,663元/平"
满两年 证没抵押 随时过户 西南端头 全新空房 没住过,俊发彩云城澜湾 -新螺蛳湾,3室2厅 | 109.28平米 | 西南 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 11天以前发布,135,"12,354元/平"
润城88平精装南向大2房  带2个露台 产权证满2年,润城 -南亚,2室2厅 | 88平米 | 南 北 | 精装 | 低楼层(共31层)  | 塔楼,0人关注 / 13天以前发布,120,"13,637元/平"
滇池ONE别墅区， 下叠加别墅，总高4层，花园入户,滇池俊府 -滇池半岛,4室2厅 | 159.3平米 | 东南 | 精装 | 下叠(共4层)  | 板楼 | 叠拼别墅 ,0人关注 / 10天以前发布,650,"40,804元/平"
北市区月牙塘小区，精装修三房，小区中间位置,月牙塘小区三组团 -昆八中,3室2厅 | 80平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 9天以前发布,192,"24,000元/平"
有个小院子，自给自足，养花种菜。冬暖夏凉,印象·首日封 -世博,3室2厅 | 102平米 | 东南 | 精装 | 低楼层(共11层)  | 板楼,0人关注 / 8天以前发布,138,"13,530元/平"
采光充足，配套设施齐全，交通便利。,月牙塘小区二组团 -昆八中,3室2厅 | 80.46平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 14天以前发布,196,"24,360元/平"
南亚旁 总高17层 电梯的 带大阳台 随时看房,滇池泊屋 -南亚,2室2厅 | 86.97平米 | 西南 | 简装 | 高楼层(共17层)  | 塔楼,1人关注 / 13天以前发布,90,"10,349元/平"
云通嘉园5-3-1-2 197.48m²,云通嘉园 -东白沙河,5室3厅 | 197.48平米 | 东南 南 | 简装 | 高楼层(共8层)  | 板楼,0人关注 / 11天以前发布,238,"12,052元/平"
紫东苑 3室2厅 南,紫东苑 -东白沙河,3室2厅 | 89.37平米 | 南 | 其他 | 中楼层(共8层)  | 板楼,0人关注 / 7天以前发布,110,"12,309元/平"
一整天阳光都能洒满家的景观房 业主诚心急售,绿地滇池国际健康城长滩 -呈贡,3室2厅 | 98平米 | 东南 | 简装 | 低楼层(共27层)  | 板楼,0人关注 / 2天以前发布,108,"11,021元/平"
龙熙壹号一梯两户南北朝向 三房两卫前后无遮挡 急售,中建龙熙壹号 -北部客运站,3室2厅 | 128.52平米 | 南 | 毛坯 | 低楼层(共11层)  | 板楼,0人关注 / 5天以前发布,148,"11,516元/平"
品质小区 满两年 环境好 价格可以谈 户型方正视野开阔,金地九樾 -西山万达,3室2厅 | 126平米 | 西南 | 精装 | 高楼层(共34层)  | 塔楼,0人关注 / 12天以前发布,205,"16,270元/平"
罕见大端头，正对主景观，户型端正，明通,蓝光林肯公园 -司家营,5室3厅 | 255平米 | 西南 | 毛坯 | 中楼层(共34层)  | 塔楼,0人关注 / 6天以前发布,300,"11,765元/平"
林肯公园标准大四房，前后无遮挡,蓝光林肯公园 -司家营,4室2厅 | 121平米 | 西南 东南 南 东 | 毛坯 | 中楼层(共34层)  | 塔楼,0人关注 / 5天以前发布,191,"15,786元/平"
昆明监狱职工生活区 2室2厅 东南 南,昆明监狱职工生活区 -金沙,2室2厅 | 56.81平米 | 东南 南 | 精装 | 高楼层(共5层)  | 暂无数据,0人关注 / 4天以前发布,48,"8,450元/平"
房子产权清晰，公摊小，无遮挡，客厅可见可见花园。,北城映象·立春苑 -世博,3室2厅 | 106平米 | 南 东北 | 精装 | 中楼层(共33层)  | 板楼,50人关注 / 13天以前发布,126.5,"11,934元/平"
一环青年路精装小三室，配套齐全，拎包入住,青年路282号 -翠湖,3室1厅 | 44平米 | 东 | 精装 | 高楼层(共4层)  | 板楼,0人关注 / 7天以前发布,54,"12,273元/平"
安宁金湖盛景联排别墅带前后花园双车位端头别墅出售,金湖盛景 -安宁老城,5室2厅 | 174.55平米 | 东 西 | 毛坯 | 低楼层(共3层)  | 暂无数据,0人关注 / 11天以前发布,170,"9,740元/平"
房东诚心卖，交通方便，设施完善， 随时看房,海伦城市广场 -世纪城,3室2厅 | 101.67平米 | 西 | 毛坯 | 中楼层(共40层)  | 暂无数据,0人关注 / 5天以前发布,110,"10,820元/平"
诚心出售，精装修2梯4户板式住宅 小区绿化高 交通方便,红星天铂 -世纪城,3室2厅 | 90.06平米 | 南 | 精装 | 低楼层(共25层)  | 板楼,0人关注 / 4天以前发布,135,"14,991元/平"
南亚商圈精装两房，楼层好，业主诚心出售，看房方便,金坤尚城祥和里 -南亚,2室1厅 | 89平米 | 东 | 精装 | 中楼层(共32层)  | 板塔结合,1人关注 / 13天以前发布,118,"13,259元/平"
西城时代旁华信悦峰 1梯1户大平层便宜出售,华信悦峰 -黑林铺,4室2厅 | 172.16平米 | 东南 | 毛坯 | 中楼层(共27层)  | 板楼,0人关注 / 8天以前发布,188,"10,921元/平"
南向无遮挡 中间楼层 视野开阔 全天阳光入户 产权清晰,俊发城百合苑 -司家营,3室2厅 | 100平米 | 南 | 精装 | 中楼层(共43层)  | 板楼,0人关注 / 5天以前发布,121,"12,100元/平"
时代俊园 4室1厅 南,时代俊园 -呈贡,4室1厅 | 141.72平米 | 南 | 简装 | 高楼层(共18层)  | 板楼,0人关注 / 1天以前发布,117,"8,256元/平"
一楼带40平围院 三居室 带双卫 精装修房东诚心出售,华昌路 -云纺,3室1厅 | 48.24平米 | 南 北 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 7天以前发布,85,"17,621元/平"
地铁口退台洋房，带露台，格局方正，采光好，视野开阔,云大知城二期 -经开区,3室2厅 | 122.2平米 | 南 | 精装 | 中楼层(共7层)  | 平房,0人关注 / 9天以前发布,125,"10,230元/平"
万科魅力之城 3室2厅 东南,万科魅力之城 -新亚洲,3室2厅 | 115平米 | 东南 | 精装 | 低楼层(共34层)  | 塔楼,0人关注 / 9天以前发布,120,"10,435元/平"
大商汇次新小区 拎包入住 小三房 配套成熟 生活方便,大商荟耍街 -大商汇,3室2厅 | 71平米 | 西 | 精装 | 低楼层(共40层)  | 塔楼,0人关注 / 13天以前发布,105,"14,789元/平"
巫家坝中交15号院公园头排合心区域带双车位,中交金地中央公园 -巫家坝,4室2厅 | 193平米 | 东南 | 毛坯 | 中楼层(共27层)  | 暂无数据,0人关注 / 12天以前发布,418,"21,659元/平"
西城时代旁华信悦峰 1梯1户大平层便宜出售,华信悦峰 -黑林铺,4室2厅 | 172.16平米 | 东南 | 毛坯 | 中楼层(共27层)  | 板楼,0人关注 / 8天以前发布,188,"10,921元/平"
南向无遮挡 中间楼层 视野开阔 全天阳光入户 产权清晰,俊发城百合苑 -司家营,3室2厅 | 100平米 | 南 | 精装 | 中楼层(共43层)  | 板楼,0人关注 / 5天以前发布,121,"12,100元/平"
诚心出售，精装修2梯4户板式住宅 小区绿化高 交通方便,红星天铂 -世纪城,3室2厅 | 90.06平米 | 南 | 精装 | 低楼层(共25层)  | 板楼,0人关注 / 4天以前发布,135,"14,991元/平"
昆明湖旁 龙熙壹号 一梯两户 南北朝向 四房两卫 急售,中建龙熙壹号 -北部客运站,4室2厅 | 142.12平米 | 南 | 毛坯 | 低楼层(共11层)  | 板楼,0人关注 / 5天以前发布,163,"11,470元/平"
昆明湖 旁中建龙熙壹号 板式小高层 南北向,中建龙熙壹号 -北部客运站,3室2厅 | 128.52平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 板楼,0人关注 / 5天以前发布,148,"11,516元/平"
龙熙壹号 南北向小高层纯板房  板房天花板,中建龙熙壹号 -北部客运站,3室2厅 | 139.57平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 3天以前发布,167,"11,966元/平"
中建龙熙一号 一梯两户小高层南北向 银杏公园,中建龙熙壹号 -北部客运站,4室2厅 | 142.9平米 | 东南 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 2天以前发布,180,"12,597元/平"
时代俊园 4室1厅 南,时代俊园 -呈贡,4室1厅 | 141.72平米 | 南 | 简装 | 高楼层(共18层)  | 板楼,0人关注 / 1天以前发布,117,"8,256元/平"
南亚隔壁草海公园旁 3房 满5年 一楼带50平花园 端头房,绿色家园 -南亚,3室2厅 | 91.03平米 | 东南 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 7天以前发布,145,"15,929元/平"
大商汇次新小区 拎包入住 小三房 配套成熟 生活方便,大商荟耍街 -大商汇,3室2厅 | 71平米 | 西 | 精装 | 低楼层(共40层)  | 塔楼,0人关注 / 13天以前发布,105,"14,789元/平"
房子是满两年的 采光采阳很好 视野开阔,海伦国际海伦区 -世纪城,3室2厅 | 126平米 | 东南 | 精装 | 中楼层(共40层)  | 塔楼,0人关注 / 5天以前发布,140,"11,112元/平"
巫家坝中交15号院公园头排合心区域带双车位,中交金地中央公园 -巫家坝,4室2厅 | 193平米 | 东南 | 毛坯 | 中楼层(共27层)  | 暂无数据,0人关注 / 12天以前发布,418,"21,659元/平"
润城小区75平精装2房 产权证在手看房方便,润城 -南亚,2室1厅 | 75平米 | 西 | 精装 | 中楼层(共33层)  | 塔楼,0人关注 / 15天以前发布,110,"14,667元/平"
地铁口退台洋房，带露台，格局方正，采光好，视野开阔,云大知城二期 -经开区,3室2厅 | 122.2平米 | 南 | 精装 | 中楼层(共7层)  | 平房,0人关注 / 9天以前发布,125,"10,230元/平"
万科魅力之城 3室2厅 东南,万科魅力之城 -新亚洲,3室2厅 | 115平米 | 东南 | 精装 | 低楼层(共34层)  | 塔楼,0人关注 / 9天以前发布,120,"10,435元/平"
同德商圈，经典大跃层，户型通透‘’‘,保利玺樾 -世博,4室2厅 | 146.9平米 | 东南 | 毛坯 | 中楼层(共35层)  | 板楼,0人关注 / 3天以前发布,247,"16,815元/平"
房东诚心卖，交通方便，设施完善，房本满二 随时看房,海伦国际柏林区 -世纪城,3室2厅 | 112.09平米 | 东 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 7天以前发布,118,"10,528元/平"
小区有24小时保安全天值守，毛坯房；小区整体绿化好，,誉峰峰景 -世博,3室2厅 | 106.22平米 | 东 北 | 毛坯 | 中楼层(共40层)  | 塔楼,0人关注 / 4天以前发布,119,"11,204元/平"
单价9000多 精装修大两室 端头房 拎包入住  业主急卖,居安园 -新亚洲,2室2厅 | 69.4平米 | 南 西南 | 精装 | 高楼层(共17层)  | 板楼,0人关注 / 7天以前发布,68,"9,799元/平"
二环边 三房对小区中间位置 俊发物业,金色俊园 -昙华寺,3室2厅 | 126平米 | 西 | 精装 | 中楼层(共33层)  | 塔楼,0人关注 / 9天以前发布,177.9,"14,120元/平"
地铁四号线百年印象三房  户型方正 楼层好,中铁百年印象 -昆船,3室1厅 | 116平米 | 南 北 | 精装 | 高楼层(共18层)  | 塔楼,0人关注 / 一年前发布,123,"10,604元/平"
全新交房小区，看房方便有钥匙，毛坯按自行喜好装修,润城第五大道 -西山万达,3室2厅 | 109.52平米 | 南 | 毛坯 | 低楼层(共27层)  | 塔楼,0人关注 / 7个月以前发布,162,"14,792元/平"
一梯两户板式洋房房屋透光性好明厨明卫,时代俊园逸园 -呈贡,5室2厅 | 220.87平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,1人关注 / 9个月以前发布,245,"11,093元/平"
山海湾大平层 高层面朝滇池 户型方正 带子母车位,山海湾 -滇池半岛,4室2厅 | 184.37平米 | 东南 | 毛坯 | 33层  | 板塔结合,13人关注 / 一年前发布,370,"20,069元/平"
交通便利，生活方便。。。。。。,林检局小区 -翠湖,2室1厅 | 57.96平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,13人关注 / 一年前发布,77.9,"13,441元/平"
空中跃层，东南向，两面采光，户型方正，小区环境优美,山水润城馨园 -昆明湖公园,5室2厅 | 268.81平米 | 东南 | 毛坯 | 高楼层(共25层)  | 板楼,0人关注 / 一年前发布,350,"13,021元/平"
太平万辉好房出售，户型通透，采光好,万辉星城蓝山郡 -太平新城,3室2厅 | 117.76平米 | 南 北 | 简装 | 18层  | 板塔结合,2人关注 / 一年前发布,96,"8,153元/平"
彼岸精装电梯四居室，诚心出售。,彼岸一区 -新亚洲,4室2厅 | 149平米 | 东 | 精装 | 中楼层(共14层)  | 板楼,5人关注 / 一年前发布,156,"10,470元/平"
观景大平层 视野好 揽收白沙湖 三面环山 南面朝湖,东鸣佳苑 -东白沙河,5室2厅 | 222.89平米 | 南 北 | 毛坯 | 中楼层(共14层)  | 板楼,0人关注 / 4个月以前发布,260,"11,665元/平"
南市区 大商汇旁 带车位出售2房,未名城A8地块 -大商汇,2室2厅 | 86.65平米 | 东 | 精装 | 中楼层(共33层)  | 塔楼,17人关注 / 一年前发布,111,"12,811元/平"
万科魅力之城精装修3房 东南端头  采光好,万科魅力之城 -新亚洲,3室1厅 | 120.26平米 | 东南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 5个月以前发布,156,"12,972元/平"
房子精装修，户型好，采光视野好，上学方便。,蓝苑静园 -经开区,5室2厅 | 158平米 | 东南 | 精装 | 低楼层(共12层)  | 板楼,3人关注 / 一年前发布,138,"8,735元/平"
万达    前兴路   润城第五大道  房东诚售  中间楼层,润城第五大道 -西山万达,3室2厅 | 97.47平米 | 南 | 毛坯 | 中楼层(共26层)  | 塔楼,0人关注 / 6个月以前发布,145,"14,877元/平"
东骧神骏，精装三房，中高楼层，交通便利,东骧神骏 -金马,3室2厅 | 115平米 | 东 | 精装 | 高楼层(共15层)  | 塔楼,1人关注 / 7个月以前发布,136,"11,827元/平"
这套房子的亮点是户户采光，都是一次采光，,曙光西区 -金马,2室2厅 | 63.16平米 | 东南 南 | 精装 | 高楼层(共7层)  | 平房,5人关注 / 一年前发布,66.5,"10,529元/平"
位于昆明后花园的太平新城，户型好，小区环境优美,昆华苑 -太平新城,7室3厅 | 318.1平米 | 南 | 毛坯 | 3层  | 板塔结合,19人关注 / 一年前发布,175,"5,502元/平"
星辰园大四房精装修带家具家电房东诚心出售,新亚洲体育城星辰园 -新亚洲,4室2厅 | 143.98平米 | 北 南 | 精装 | 高楼层(共34层)  | 板塔结合,9人关注 / 一年前发布,175,"12,155元/平"
螺蛳湾 体育城 星体大跃层3房2卫带阳台 满二年2梯3户,新亚洲体育城星体花园南区 -新亚洲,3室2厅 | 140.72平米 | 西南 | 精装 | 中楼层(共17层)  | 板楼,42人关注 / 一年前发布,130,"9,239元/平"
滇池边，地铁口，度假区一梯二户精装洋房，低层低密度,滇池卫城蓝调公元 -度假区,3室2厅 | 116.96平米 | 南 | 简装 | 6层  | 板楼,9人关注 / 8个月以前发布,180,"15,390元/平"
昆明后花园，精装跃层，业主诚售，满五唯一！,昆华苑 -太平新城,5室3厅 | 237.79平米 | 西南 南 | 精装 | 中楼层(共12层)  | 板楼,2人关注 / 10个月以前发布,160,"6,729元/平"
户型方正，户型好，采光好，小区环境好,高新水岸晴沙 -呈贡,5室2厅 | 327.08平米 | 南 | 毛坯 | 2层  | 暂无数据 | 联排别墅 ,1人关注 / 8个月以前发布,268,"8,194元/平"
电梯小洋房小三居  价格便宜  带车位卖 看房预约,格拉斯香水小镇 -新螺蛳湾,3室2厅 | 87.8平米 | 东南 | 毛坯 | 低楼层(共8层)  | 板楼,3人关注 / 一年前发布,117,"13,326元/平"
中豪逸境花园 3室2厅 南 北,中豪逸境花园 -新螺蛳湾,3室2厅 | 130.13平米 | 南 北 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 4个月以前发布,170,"13,064元/平"
中豪逸境花园   毛坯 130平带车位诚心出售,中豪逸境花园 -新螺蛳湾,3室1厅 | 131.84平米 | 东南 | 毛坯 | 低楼层(共19层)  | 塔楼,4人关注 / 一年前发布,138,"10,468元/平"
此房满2年中间位置，楼层好户型方正，落地窗，板式房,金苑住宅二期 -金马,4室2厅 | 128.32平米 | 南 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,120,"9,352元/平"
中铁百年印象 稀有跃层出售4个大楼台别墅享受,中铁百年印象 -昆船,5室2厅 | 210.88平米 | 东南 | 毛坯 | 高楼层(共18层)  | 塔楼,3人关注 / 一年前发布,205,"9,722元/平"
泛亚新区品质小区毛坯跃层诚意出售,新希望白麓城 -泛亚,5室2厅 | 150.42平米 | 南 北 | 毛坯 | 高楼层(共31层)  | 板楼,1人关注 / 6个月以前发布,260,"17,285元/平"
俊发新螺蛳湾，纯毛坯四居室，满两年，诚心出售、,中豪悦城花园 -新螺蛳湾,4室2厅 | 148.91平米 | 东南 | 毛坯 | 高楼层(共33层)  | 塔楼,0人关注 / 一年前发布,155,"10,409元/平"
一梯一户板楼大跃层诚心出售，采光好，视野开阔,山水润城雅园 -昆明湖公园,5室2厅 | 266.07平米 | 南 北 | 毛坯 | 高楼层(共25层)  | 板楼,2人关注 / 11个月以前发布,300,"11,276元/平"
五华西北新城城芯 环境好交通便利  近地铁口,融创春风十里御风苑 -泛亚,4室2厅 | 143.98平米 | 南 | 毛坯 | 低楼层(共28层)  | 板塔结合,0人关注 / 2个月以前发布,209,"14,516元/平"
南市区未名城二期 71平米南向两居 即买即住,未名城A8地块 -大商汇,2室2厅 | 71.2平米 | 南 | 精装 | 低楼层(共30层)  | 塔楼,1人关注 / 6个月以前发布,97,"13,624元/平"
胜意嘉园 3室2厅毛坯房  南北朝向 户型方正 交通便利,胜意嘉园 -金沙,3室2厅 | 99.53平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 暂无数据,4人关注 / 11个月以前发布,117.4,"11,796元/平"
滇池半岛电梯洋房 精装修带家具 4房2厅 业主诚心出售,招商海屿城 -滇池半岛,4室2厅 | 140.34平米 | 西南 | 精装 | 中楼层(共11层)  | 板楼,2人关注 / 9个月以前发布,300,"21,377元/平"
金马悦城4号线旁边，生活方便，交通好,农垦宿舍 -金马,3室2厅 | 105.7平米 | 东南 | 简装 | 中楼层(共7层)  | 平房,0人关注 / 8个月以前发布,96,"9,083元/平"
同德昆明广场旁金康园电梯房大跃层降价出售,金康园 -白云,4室2厅 | 250.1平米 | 北 南 西 | 精装 | 中楼层(共17层)  | 板楼,89人关注 / 一年前发布,200,"7,997元/平"
360平 三层叠加 带车位 广电苑为数不多的满两年的房子,广电苑信园 -呈贡,5室2厅 | 360平米 | 南 | 毛坯 | 低楼层(共18层)  | 板楼,37人关注 / 一年前发布,218,"6,056元/平"
蓝光水岸公园四室两厅 毛坯跃层,蓝光水岸公园 -巫家坝,4室2厅 | 127.03平米 | 西南 | 精装 | 中楼层(共34层)  | 塔楼,2人关注 / 一年前发布,208,"16,375元/平"
房东急售；可做便利店或茶室；税满二；低首付,万科魅力之城 -新亚洲,3室2厅 | 103.58平米 | 东北 | 精装 | 低楼层(共34层)  | 塔楼,10人关注 / 7个月以前发布,120,"11,586元/平"
南北通透格局，视野宽阔，采光充足，翠湖边,云南省人民政府机关事务管理局宿舍 -翠湖,4室2厅 | 111.23平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,21人关注 / 6个月以前发布,165,"14,835元/平"
星宇园三房两卫  业主急卖，欢迎来聊,新亚洲体育城星宇园 -新亚洲,3室1厅 | 117.86平米 | 东南 | 简装 | 低楼层(共18层)  | 板塔结合,2人关注 / 一年前发布,130,"11,031元/平"
经开区丹槿园四房两卫，房东诚心出售,第三城丹槿园 -经开区,4室2厅 | 132.44平米 | 南 北 | 精装 | 中楼层(共18层)  | 塔楼,0人关注 / 一年前发布,144,"10,873元/平"
大商汇  华都江景房 主景观旁精装修二房带家具游泳池,华都花园A区 -大商汇,2室2厅 | 95平米 | 南 北 | 精装 | 低楼层(共12层)  | 板楼,3人关注 / 一年前发布,140,"14,737元/平"
星宇园三房两卫  业主急卖，欢迎来聊,新亚洲体育城星宇园 -新亚洲,3室1厅 | 117.86平米 | 东南 | 简装 | 低楼层(共18层)  | 板塔结合,2人关注 / 一年前发布,130,"11,031元/平"
满2年，观滇3室2卫全新精装，实际面积107平米,河畔俊园 -新亚洲,3室2厅 | 77.82平米 | 东南 | 精装 | 中楼层(共30层)  | 板塔结合,49人关注 / 一年前发布,132,"16,963元/平"
东骧 向阳 3房2卫 急售 有钥匙随时看房,东骧神骏 -金马,3室2厅 | 93.75平米 | 西 | 精装 | 中楼层(共18层)  | 塔楼,1人关注 / 9个月以前发布,122,"13,014元/平"
版筑翠园精装电梯房地铁口81平双证在手房东诚心售,版筑翠园 -虹山,4室2厅 | 80.96平米 | 西南 | 精装 | 高楼层(共31层)  | 塔楼,2人关注 / 7个月以前发布,218,"26,927元/平"
配套成熟，房子户型方正，采光阳光充足，产权清晰，,昆铁利民小区 -方旺,3室2厅 | 89.13平米 | 东 西 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 6个月以前发布,83,"9,313元/平"
此房证在手，满两年，小区中间位置，房东诚心出售,润城 -南亚,3室2厅 | 123.86平米 | 南 北 | 简装 | 低楼层(共33层)  | 塔楼,4人关注 / 一年前发布,190,"15,340元/平"
北京路司家营 东南向端头房 采光好,俊发城茉莉苑 -司家营,4室2厅 | 140.2平米 | 东南 | 精装 | 低楼层(共44层)  | 塔楼,4人关注 / 一年前发布,192,"13,695元/平"
润城一区正东向中间楼层，精装修诚心出售,润城 -南亚,2室1厅 | 74.68平米 | 东 | 精装 | 中楼层(共33层)  | 塔楼,7人关注 / 一年前发布,108,"14,462元/平"
俊发河畔俊园商品房通透户型视野很广,河畔俊园 -新亚洲,4室2厅 | 113.76平米 | 东南 | 毛坯 | 高楼层(共27层)  | 板塔结合,15人关注 / 一年前发布,162,"14,241元/平"
度假区地铁5号旁万科银海泊岸观澜江景房诚心出售,万科银海泊岸观澜 -度假区,4室2厅 | 165.69平米 | 东南 | 其他 | 高楼层(共12层)  | 板楼,1人关注 / 8个月以前发布,338,"20,400元/平"
房子户型方正，无遮挡采光充足视野好，,金马悦城 -金马,3室2厅 | 139.32平米 | 西 | 简装 | 低楼层(共34层)  | 塔楼,4人关注 / 一年前发布,175,"12,562元/平"
度假区  滇池卫城   锦尚电梯洋房,滇池卫城锦尚 -度假区,4室2厅 | 86.93平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,16人关注 / 一年前发布,160,"18,406元/平"
跃层2居室 动静分离 精装修 看房方便,丽水雅苑 -司家营,2室1厅 | 92平米 | 北 | 精装 | 中楼层(共18层)  | 板塔结合,7人关注 / 一年前发布,118,"12,827元/平"
时代俊园逸园高品质大层 视墅开阔 证满两年带车位,时代俊园逸园 -呈贡,5室2厅 | 224.71平米 | 东 西 | 毛坯 | 高楼层(共11层)  | 板楼,8人关注 / 一年前发布,199,"8,856元/平"
楼梯房一梯两户顶楼三层，户型好，小区环境优美,昆华苑 -太平新城,7室2厅 | 318.13平米 | 南 | 毛坯 | 低楼层(共3层)  | 板楼,11人关注 / 一年前发布,162,"5,093元/平"
生态半岛端头别墅 大花园有电梯井，湿地公园围绕,俊发生态半岛 -滇池半岛,6室2厅 | 523平米 | 东南 | 毛坯 | 3层  | 板楼 | 联排别墅 ,0人关注 / 6个月以前发布,1380,"26,387元/平"
楼层好，装修好，采光采阳充足，位于滇池半岛，宜居住,艺术家园区B区 -滇池半岛,5室2厅 | 220.24平米 | 东南 西北 | 精装 | 中楼层(共8层)  | 板楼,8人关注 / 一年前发布,302,"13,713元/平"
河畔俊园  满两年 户型方正 诚心出售,河畔俊园 -新亚洲,4室2厅 | 118.48平米 | 西南 | 毛坯 | 低楼层(共28层)  | 板塔结合,10人关注 / 11个月以前发布,160,"13,505元/平"
广福城和福园两室带车位，房东南诚心出售,广福城和福园 -大商汇,2室1厅 | 76.76平米 | 西 | 简装 | 中楼层(共18层)  | 塔楼,0人关注 / 5个月以前发布,85,"11,074元/平"
东三环中南碧桂园樾府一楼带夹层毛坯房出售,中南碧桂园樾府 -方旺,6室2厅 | 324.28平米 | 南 北 | 毛坯 | 低楼层(共34层)  | 板楼,1人关注 / 一年前发布,275,"8,481元/平"
新螺蛳湾悦城花园装修2房诚心出售 近地铁 随时看房,中豪悦城花园 -新螺蛳湾,3室2厅 | 101.11平米 | 东 | 简装 | 中楼层(共33层)  | 板楼,14人关注 / 一年前发布,105,"10,385元/平"
白沙湖景品质联排端头别墅 带180平花园带3个产权车位,美的顺城府 -东白沙河,5室3厅 | 390平米 | 南 | 毛坯 | 3层  | 板塔结合 | 联排别墅 ,4人关注 / 一年前发布,708,"18,154元/平"
此房楼层高，视线.一览无余.两梯四户,星汇园 -新亚洲,4室2厅 | 127.18平米 | 西 | 精装 | 高楼层(共16层)  | 板塔结合,0人关注 / 3个月以前发布,139,"10,930元/平"
房产证在手上+满两年了+有钥匙+随时可以看,中豪悦城花园 -新螺蛳湾,3室2厅 | 123.08平米 | 东南 | 毛坯 | 高楼层(共33层)  | 塔楼,36人关注 / 一年前发布,125,"10,156元/平"
北市区华龙人家2居室东向正对花园拎包入住,华龙人家 -红云,2室2厅 | 85.54平米 | 东 | 精装 | 高楼层(共18层)  | 板楼,20人关注 / 一年前发布,85,"9,937元/平"
滇池卫城橡尚5号线地 铁口精装2室2厅南北向客厅带阳台,滇池卫城橡尚 -度假区,2室2厅 | 87.1平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,3人关注 / 8个月以前发布,140,"16,074元/平"
吾悦花园端头房，南北向，无遮挡，看房方便,吾悦花园 -泛亚,4室2厅 | 116.94平米 | 南 | 精装 | 高楼层(共30层)  | 板楼,0人关注 / 8个月以前发布,180,"15,393元/平"
小区c位 靠山望湖观景房 端头房纯毛坯 房东诚心出售,东鸣佳苑 -东白沙河,4室2厅 | 222.89平米 | 南 北 | 毛坯 | 高楼层(共14层)  | 板楼,2人关注 / 6个月以前发布,220,"9,871元/平"
金色交响四室大平层，位置好楼层好,金色交响家园 -金沙,4室2厅 | 140.13平米 | 东南 西北 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 11个月以前发布,140,"9,991元/平"
东白沙湖花之城旁边紫东尚苑毛坯四房,紫东尚苑 -东白沙河,4室2厅 | 129.52平米 | 南 | 毛坯 | 低楼层(共5层)  | 板楼,4人关注 / 一年前发布,152,"11,736元/平"
澜湾俊园 带车位 精装未入住 证满二 视野好 诚心出售,俊发彩云城澜湾 -新螺蛳湾,3室2厅 | 99.98平米 | 东南 | 精装 | 高楼层(共32层)  | 板楼,0人关注 / 2个月以前发布,110,"11,003元/平"
魅力之城2期3梯7户中间楼层 钥匙在手满两年房东急卖,万科魅力之城 -新亚洲,3室2厅 | 89.99平米 | 东 | 简装 | 中楼层(共33层)  | 塔楼,1人关注 / 一年前发布,116,"12,891元/平"
四房出售  一梯两户板房，诚心出售 看房方便,华龙人家 -红云,4室2厅 | 155.3平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,5人关注 / 一年前发布,164.6,"10,599元/平"
丽水雅苑两室 装修清爽 业主急售,丽水雅苑 -司家营,2室2厅 | 94.2平米 | 南 北 | 简装 | 低楼层(共18层)  | 板塔结合,2人关注 / 一年前发布,116,"12,315元/平"
一梯两户明厨明卫中等装修 房产证在手随时看房带露台,彼岸一区 -新亚洲,3室2厅 | 160.26平米 | 东 南 | 精装 | 中楼层(共12层)  | 板楼,3人关注 / 一年前发布,180,"11,232元/平"
此房为板式楼小高层南北向，户型方正格局好、视野好,中建龙熙壹号 -北部客运站,3室2厅 | 135.92平米 | 东南 | 毛坯 | 高楼层(共11层)  | 暂无数据,0人关注 / 一年前发布,186,"13,685元/平"
