标题,开发商,房子信息,发布信息,售价/万,单价
和平上东三室毛坯，户型方正，中楼层，老证过户,和平上东四期 -金龙湖,3室2厅 | 100.04平米 | 南 | 毛坯 | 中楼层(共25层)  | 板塔结合,1人关注 / 26天以前发布,154,"15,394元/平"
急售！集中供暖　婚房装修　自住保养好　有钥匙随时看,华美生态园北区 -鼓楼区政府,3室2厅 | 110.36平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,0人关注 / 27天以前发布,145,"13,139元/平"
二次精装  前排  采光充足 包含子母车位！,荣盛城一期 -火花,3室1厅 | 103.59平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,1人关注 / 15天以前发布,135,"13,033元/平"
万科城 3室2厅 南,万科城 -九里万科城,3室2厅 | 90.98平米 | 南 | 精装 | 低楼层(共24层)  | 板塔结合,0人关注 / 10天以前发布,120,"13,190元/平"
地铁二号线 花语城 毛坯房三室两卫 带车位 有钥匙,荣盛花语城二期 -御景湾,3室2厅 | 113.16平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,0人关注 / 15天以前发布,160,"14,140元/平"
精装修，集中供暖，楼层好，视野开阔，采光充足,荣盛城一期 -火花,3室2厅 | 112.19平米 | 南 北 | 精装 | 中楼层(共34层)  | 塔楼,0人关注 / 11天以前发布,138,"12,301元/平"
精装 全屋定制 好位置 万科尚都会 3居室  有车位,万科尚都会 -黄山垅,3室2厅 | 88.82平米 | 南 北 | 精装 | 低楼层(共34层)  | 板塔结合,3人关注 / 9天以前发布,145,"16,326元/平"
交通方便，配套好，万达旁边，医院和菜市场 地铁口,东方美地南区 -狮子山,2室1厅 | 90.58平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 12天以前发布,112,"12,365元/平"
户型方正 采光好 位置棒 无遮挡,万科橙郡 -九里万科城,2室2厅 | 72.36平米 | 南 | 精装 | 低楼层(共34层)  | 板楼,0人关注 / 17天以前发布,90,"12,438元/平"
楼层好 求是 供暖  带15平的地下室  急售 看房方便,梅苑小区(泉山区) -大润发,2室1厅 | 68平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 15天以前发布,106,"15,589元/平"
交通出行方便，休闲娱乐，天然氧吧,龙潭公寓 -金山桥大厦,2室2厅 | 71.65平米 | 南 | 简装 | 中楼层(共7层)  | 板塔结合,0人关注 / 16天以前发布,72,"10,049元/平"
紫金东郡总高九层洋房 一楼带前后院，上下270平,金洋紫金东郡 -绿地世纪城,5室3厅 | 142.04平米 | 南 | 精装 | 低楼层(共16层)  | 板塔结合,32人关注 / 一年前发布,380,"26,754元/平"
西苑民健东园 集中供暖 全明户型 采光好,民健东园 -西苑,3室1厅 | 105平米 | 南 | 简装 | 中楼层(共7层)  | 板塔结合,1人关注 / 8天以前发布,108,"10,286元/平"
小区在九里湖，紧挨着时代大道，交通方便，环境优美,鱼先生的社区 -九里湖,3室1厅 | 80.08平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 6天以前发布,65,"8,117元/平"
东方人民医院宿舍 老证过户 楼层好 交通方便,东方人民医院宿舍 -医科大学,3室2厅 | 84.65平米 | 南 | 精装 | 中楼层(共4层)  | 暂无数据,0人关注 / 11天以前发布,88,"10,396元/平"
新上房源，精装，价格低 楼层好！！,永康小区 -苏宁广场,2室1厅 | 91.22平米 | 南 | 精装 | 低楼层(共6层)  | 板塔结合,2人关注 / 6天以前发布,217,"23,789元/平"
一号线地铁口韩山站 出行方便 ，门口就是大商场,荣盛城一期 -火花,3室2厅 | 112.19平米 | 南 北 | 简装 | 中楼层(共34层)  | 塔楼,0人关注 / 9天以前发布,130,"11,588元/平"
民健园 两室 精装修 室内保养好 采光好,民健东园 -西苑,2室1厅 | 64.35平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 7天以前发布,75,"11,656元/平"
精装修和平上东户型方正解放路一号线就在家门口,和平上东臻园 -金龙湖,3室2厅 | 97.85平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 15天以前发布,155,"15,841元/平"
祥和大酒店 旁 祥和时代家园 3室3楼 精装修 总价低,祥和时代家园 -祥和,3室2厅 | 109.42平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 12天以前发布,120,"10,967元/平"
四处东院 3室1厅 南,四处东院 -九里北三环,3室1厅 | 60.89平米 | 南 | 简装 | 中楼层(共4层)  | 暂无数据,0人关注 / 9天以前发布,42,"6,898元/平"
精装婚房两室带地下室老证总价可谈,开元麓郡 -开元四季,2室2厅 | 91.39平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 5天以前发布,91,"9,958元/平"
宝信新上三室，价格低，楼层好，有钥匙随时看,宝信润山 -泉山师大,3室1厅 | 99.02平米 | 南 | 毛坯 | 中楼层(共23层)  | 板塔结合,0人关注 / 6天以前发布,118,"11,917元/平"
业主急售 圆梦一楼 前后阳台 四方四正户型 子房山地铁,圆梦花园 -天桥东,3室2厅 | 121.25平米 | 南 北 | 精装 | 低楼层(共4层)  | 板楼,12人关注 / 一年前发布,129,"10,640元/平"
小区中间位置  视野好  可以看到云龙湖  能过户,荣盛城一期 -火花,3室2厅 | 131.92平米 | 南 北 | 简装 | 高楼层(共34层)  | 塔楼,5人关注 / 6个月以前发布,164,"12,432元/平"
地铁洋房，楼层好，采光刺眼，南北两露台不算面积。,中海熙岸华府 -火花,3室2厅 | 116.18平米 | 南 | 毛坯 | 低楼层(共8层)  | 板楼,21人关注 / 11个月以前发布,209,"17,990元/平"
徐州鼓楼区 春华园  大马路水苑长桥润和园鼓楼广场,春华园C区 -鼓楼广场,3室2厅 | 125.32平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,105,"8,379元/平"
