标题,开发商,房子信息,发布信息,售价/万,单价
黑虎泉 东青龙街泉城广场 司里街青后低楼层,东青龙街住宅 -青后,2室1厅 | 50.03平米 | 南 | 其他 | 低楼层(共6层) | 1998年建 | 板楼,1人关注 / 16天以前发布,133,"26,585元/平"
店长推荐精装修三室好楼层急售社区成熟,金科城 -西客站,3室2厅 | 103.82平米 | 南 | 精装 | 中楼层(共26层) | 2017年建 | 板楼,1人关注 / 9天以前发布,134.5,"12,956元/平"
华润精装2室 全明格局 带地下室 满5年唯一 依山而建,华润中央公园 -兴隆,2室2厅 | 124.38平米 | 南 北 | 精装 | 低楼层(共18层) | 2013年建 | 板楼,0人关注 / 5天以前发布,239,"19,216元/平"
一梯两户，总高18层小高，南北通透好户型,阳光100国际新城G区 -阳光100区,2室2厅 | 115.76平米 | 南 北 | 精装 | 高楼层(共18层) | 2008年建 | 板楼,1人关注 / 14天以前发布,160,"13,822元/平"
三室两厅两卫格局好，楼层好，视野宽阔，配套齐全,盛福花园 -盛福,3室2厅 | 116.61平米 | 南 北 | 简装 | 中楼层(共6层) | 2009年建 | 板楼,0人关注 / 16天以前发布,170,"14,579元/平"
锦绣泉城不沿街不靠路 有地下室 有车位 业主诚意出售,锦绣泉城 -七里河,3室2厅 | 148.4平米 | 南 北 | 简装 | 低楼层(共26层) | 2009年建 | 板楼,6人关注 / 15天以前发布,260,"17,521元/平"
经六路，世佳戎居，南北通风好，中间楼层，电梯小高层,世佳戎居 -段店,2室2厅 | 120平米 | 南 北 | 精装 | 中楼层(共16层) | 2009年建 | 板楼,0人关注 / 14天以前发布,135,"11,250元/平"
历下区奥体西路保利华庭好楼层不沿街业主急售,保利华庭 -化纤厂路,3室1厅 | 124.47平米 | 南 北 | 精装 | 高楼层(共34层) | 2015年建 | 板楼,2人关注 / 16天以前发布,263,"21,130元/平"
満五唯一，楼层好，无遮挡，卧室客厅朝阳，户型方正,绿地梵尔赛公馆 -泺口,2室2厅 | 90.97平米 | 南 | 简装 | 中楼层(共33层) | 2012年建 | 板楼,0人关注 / 7天以前发布,106,"11,653元/平"
领秀城D区 电力团购房 生活便利 诚意出售,鲁能领秀城D区 -领秀城,3室2厅 | 165.3平米 | 北 南 | 精装 | 低楼层(共26层) | 2009年建 | 板楼,3人关注 / 6天以前发布,360,"21,779元/平"
优质好房业主急售，精装修婚房，双气带小房,济微路111号试验机厂宿舍 -白马山,2室2厅 | 71.2平米 | 南 北 | 精装 | 低楼层(共7层) | 1994年建 | 板楼,0人关注 / 5天以前发布,68,"9,551元/平"
保利华庭 R3 精装好房  高楼层采光好视野开阔  有车位,保利华庭 -化纤厂路,3室2厅 | 103.28平米 | 南 北 | 精装 | 高楼层(共34层) | 2015年建 | 板楼,3人关注 / 12天以前发布,223,"21,592元/平"
小三居+总价低+小高层+好楼层+采光好+满五唯一+融创茂,永大颐和园 -建筑大学,3室2厅 | 94.13平米 | 南 | 精装 | 18层 | 2014年建 | 板楼,4人关注 / 25天以前发布,115,"12,218元/平"
精装修一天未住 正对花园 视野开阔 满两年 临地铁,鲁能泰山7号 -唐冶,3室1厅 | 95.46平米 | 南 北 | 精装 | 低楼层(共31层) | 2018年建 | 板楼,3人关注 / 19天以前发布,148,"15,504元/平"
泉景洋房好户型 带车位地下室  好楼层,泉景天沅 -泉景卧龙区,3室1厅 | 140.28平米 | 南 北 | 精装 | 中楼层(共11层) | 2009年建 | 板楼,0人关注 / 1个月以前发布,398,"28,372元/平"
高品质小区绿城物业，南北通透格局好，采光视野好,德润天玺西区 -汉峪,3室2厅 | 92.82平米 | 南 北 | 精装 | 低楼层(共25层)  | 板楼,4人关注 / 22天以前发布,220,"23,702元/平"
山师二附，四楼，两室朝阳，采光通风好，看房方便,师东小区 -文化东路,2室2厅 | 87.54平米 | 南 北 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,1人关注 / 19天以前发布,173,"19,763元/平"
龙奥旁！上东城逸家！一梯两户山景洋房！低公摊大阳台,东荷苑 -汉峪,3室2厅 | 127.02平米 | 南 北 | 简装 | 中楼层(共11层)  | 板楼,2人关注 / 31天以前发布,370,"29,130元/平"
历下区精装修，全屋美凯龙家居，有车位，满两年。,万科金域华府 -凤山路,3室2厅 | 96.59平米 | 南 北 | 精装 | 高楼层(共31层)  | 板楼,1人关注 / 30天以前发布,205,"21,224元/平"
海信九麓府 3室2厅 南,海信九麓府 -天桥工业园,3室2厅 | 131.56平米 | 南 | 其他 | 高楼层(共33层)  | 板楼,0人关注 / 21天以前发布,132,"10,034元/平"
轻轨旁 中建长清湖三室 光线好 着急出售,中建长清湖知园 -长清大学城,3室2厅 | 131.5平米 | 南 北 | 毛坯 | 中楼层(共32层) | 2017年建 | 板楼,1人关注 / 27天以前发布,95,"7,225元/平"
万科精装基本未住，小高层采光好通风好，不沿街,万科新里程 -张马屯,3室2厅 | 93.05平米 | 南 西 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 22天以前发布,156,"16,766元/平"
奥体中路 边户双卫三居 楼龄新,海信贤文世家 -奥体中路,3室2厅 | 126.23平米 | 南 北 | 毛坯 | 中楼层(共29层)  | 板楼,3人关注 / 28天以前发布,300,"23,767元/平"
经典大四居 有车位地下室 三室一厅朝阳 诚心出售哦,国华新经典 -兴隆,4室2厅 | 167.92平米 | 南 北 | 简装 | 低楼层(共18层) | 2017年建 | 板楼,3人关注 / 1个月以前发布,350,"20,844元/平"
