标题,开发商,房子信息,发布信息,售价/万,单价
中海河山郡  小高层10楼 精装未住人  三阳开泰户型,中海河山郡 -七子连湖,3室2厅 | 122平米 | 南 北 | 精装 | 中楼层(共17层)  | 塔楼,0人关注 / 9天以前发布,120,"9,837元/平"
城北水系花园洋房 电梯入户 落地窗 公摊小,兴庆天山熙湖 -贺兰县,4室2厅 | 152.17平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板楼,0人关注 / 11天以前发布,140,"9,201元/平"
精装修，业主诚意出售，中层即将满二。,碧桂园嘉誉里 -艾依河,3室2厅 | 119平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 9天以前发布,118,"9,916元/平"
七中五小旁106㎡步梯低公摊大三居新精装未入住58.8万,德勝花園 -大阅城,3室2厅 | 106平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,11人关注 / 5个月以前发布,57.6,"5,434元/平"
福州街 精装一楼  未住人 大三居 配套齐全  可做婚房,青青花园 -金凤新华联广场,3室2厅 | 104.11平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,2人关注 / 1个月以前发布,78.8,"7,569元/平"
福州街旁，新城板块08年的小区。,新海家园二区 -金凤新华联广场,2室2厅 | 87.93平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,5人关注 / 6个月以前发布,53.3,"6,062元/平"
新华联旁 精装南北两居 婚房 未住人  拎包入住,紫阳小区 -金凤新华联广场,2室2厅 | 78.93平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 2个月以前发布,55.8,"7,070元/平"
此房没大税，价格合适，三居户型好，看房方便,兴庆华府 -兴庆区,3室2厅 | 112.3平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,3人关注 / 2个月以前发布,87,"7,748元/平"
唐 西 四 小旁业主诚心出售 产权清晰,新材·紫云华庭 -金凤万达,3室2厅 | 133.27平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,1人关注 / 5个月以前发布,141.8,"10,641元/平"
悦海新天地旁银新苑四区低楼层，经典三居室，不临不把,银新苑四区 -金凤万达,3室2厅 | 105.17平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,81,"7,702元/平"
中海城锦园精装三居    业主诚心出售,中海城锦园 -七子连湖,3室2厅 | 96平米 | 南 北 | 精装 | 低楼层(共34层)  | 板塔结合,1人关注 / 3个月以前发布,80,"8,334元/平"
恒大名都少有毛坯经典小三居，另算车位，随时可看房,银川恒大名都西区 -艾依河,3室2厅 | 96.92平米 | 北 南 | 毛坯 | 中楼层(共32层)  | 板楼,5人关注 / 7个月以前发布,67,"6,913元/平"
市民大厅旁，世茂世悦府130平米精装修,世悦府 -大阅城,3室2厅 | 130.09平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,1人关注 / 3个月以前发布,165,"12,684元/平"
宝湖公园 南苑康晨 三居两卫 中间楼层 视野开阔,南苑康晨 -新一中,3室2厅 | 137.54平米 | 南 北 | 精装 | 中楼层(共12层)  | 板楼,17人关注 / 10个月以前发布,95,"6,908元/平"
世茂 三居 精装修 满二急售看房有钥匙,世悦府 -大阅城,3室2厅 | 131.88平米 | 南 北 | 精装 | 高楼层(共17层)  | 板楼,13人关注 / 4个月以前发布,174,"13,194元/平"
业主着急出售，看房方便，精装修，拎包入住，交通便利,新琇苑 -森林公园,3室2厅 | 111.14平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 4个月以前发布,76,"6,839元/平"
城北大连路旁君临天下 中间楼层 纯毛坯 看房方便,君临天下 -贺兰县,4室2厅 | 147.32平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,2人关注 / 7个月以前发布,122,"8,282元/平"
此房没有大税，阳光充足 交通便利，看房需要提前预约,福满苑 -金凤区,2室2厅 | 89.16平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,38人关注 / 一年前发布,68,"7,627元/平"
