标题,开发商,房子信息,发布信息,售价/万,单价
海亮滨河一号 3室2厅 南 北,海亮滨河一号 -海亮,3室2厅 | 128.53平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 刚刚发布,178,"13,849元/平"
海亮电梯洋房上跃  精装修未住人,海亮国际社区二期4号地 -海亮,5室1厅 | 247平米 | 南 北 | 精装 | 高楼层(共9层)  | 板楼,0人关注 / 8天以前发布,230,"9,312元/平"
此房满五唯一，精装修未住人，砖混结构，拎包入住,金桥雅居 -北塔湖,2室1厅 | 62.71平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 3天以前发布,35.9,"5,725元/平"
观湖精装洋房，电梯独立入户三居,凯威观湖壹号 -北塔湖,3室2厅 | 134.96平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 3天以前发布,240,"17,784元/平"
兴庆府东区3居室，不临街 不把边，回二  北塔,兴庆府大院东区 -北塔湖,3室2厅 | 142平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 4天以前发布,260,"18,310元/平"
阅海万家F3金凤区大阅城商圈好房,阅海万家F3区 -大阅城,3室2厅 | 145.23平米 | 南 北 | 简装 | 低楼层(共25层)  | 板楼,0人关注 / 5天以前发布,158,"10,880元/平"
阅海万家G1区 3室2厅 南 北,阅海万家G1区 -大阅城,3室2厅 | 131.47平米 | 南 北 | 精装 | 中楼层(共30层)  | 板楼,0人关注 / 刚刚发布,146,"11,106元/平"
惠泽园小区 4室3厅 南 北,惠泽园小区 -贺兰县,4室3厅 | 147平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 8天以前发布,58,"3,946元/平"
巨力公园和府 4室2厅 南 北,巨力公园和府 -贺兰县,4室2厅 | 139.58平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,0人关注 / 4天以前发布,118,"8,454元/平"
总高7层小洋房 中间楼层 诚心出售！,绿城·桃李春风 -贺兰县,3室2厅 | 133.06平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板楼,0人关注 / 2天以前发布,98,"7,366元/平"
香醍湾东区，精装修未住人，中间楼层全明户型,颐和香醍湾 -金凤区,3室2厅 | 127.75平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 5天以前发布,115,"9,002元/平"
城东恒大帝景精装3居室业主工作调动诚心出售,恒大帝景 -丽景北街,3室2厅 | 114平米 | 南 | 精装 | 高楼层(共16层)  | 板楼,0人关注 / 1天以前发布,102,"8,948元/平"
满春家园二组团精装修 带家具 未住人  业主诚意出售,满春家园 -丽景北街,3室2厅 | 90平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 4天以前发布,69.8,"7,756元/平"
户型方正，采光充足，商圈成熟，上学方便,塞北嘉苑 -北门,3室2厅 | 141平米 | 南 北 | 简装 | 低楼层(共22层)  | 塔楼,0人关注 / 5天以前发布,85,"6,029元/平"
永泰花园 3室2厅 南 北,永泰花园 -贺兰县,3室2厅 | 100.73平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,0人关注 / 5天以前发布,43,"4,269元/平"
兴庆世茂品质洋房，一楼带院子，有车位，临典农河。,世茂璟悦府 -贺兰县,4室2厅 | 165平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 板楼,0人关注 / 2天以前发布,230,"13,940元/平"
月湖名邸西区  精装拎包入住  电梯房出行方便,月湖名邸西区 -贺兰县,3室2厅 | 137.96平米 | 南 北 | 精装 | 高楼层(共9层)  | 暂无数据,0人关注 / 6天以前发布,77.8,"5,640元/平"
托斯卡纳独立别墅区联排别墅，上下三层,托斯卡纳庄园 -贺兰县,6室2厅 | 378平米 | 南 北 | 毛坯 | 低楼层(共2层)  | 暂无数据,0人关注 / 8天以前发布,260,"6,879元/平"
太阳城A区 精装大三居 带全新家具 拎包入住,太阳城A区 -贺兰县,3室2厅 | 113平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 4天以前发布,49.8,"4,408元/平"
塞尚雅居精装电梯三楼   三室两厅两卫  诚意出售,塞上雅居 -贺兰县,3室2厅 | 126平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,0人关注 / 5天以前发布,61,"4,842元/平"
北京东路中冶幸福宸 南北通透大三居 户型方正看房方便,中冶幸福宸 -北门,3室2厅 | 151.55平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,0人关注 / 3天以前发布,110,"7,259元/平"
名居华庭   位置好  视野宽阔  采光好,名居华庭 -贺兰县,3室2厅 | 97.85平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,0人关注 / 4天以前发布,41.8,"4,272元/平"
中冶幸福宸 阔景大四居 小区中间位置中间楼层看房方便,中冶幸福宸 -北门,4室2厅 | 210.82平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 塔楼,0人关注 / 3天以前发布,186,"8,823元/平"
此房五楼，非顶楼，无大税，看房有钥匙,望都太阳城D区 -贺兰县,3室2厅 | 112平米 | 南 北 | 简装 | 高楼层(共6层)  | 塔楼,0人关注 / 6天以前发布,49.8,"4,447元/平"
宝湖公园旁，宝湖天下 精装修三居室  带车位,宝湖天下 -宝湖,3室2厅 | 124.5平米 | 南 北 | 精装 | 高楼层(共25层)  | 板楼,0人关注 / 7天以前发布,138,"11,085元/平"
中式装修，红木家具，入住不到两年，大落地窗,国奥村 -正源南街,3室2厅 | 142平米 | 南 北 | 精装 | 中楼层(共26层)  | 板楼,0人关注 / 7天以前发布,141.9,"9,993元/平"
"房子精装修,南北通透三居室主卧室客厅朝南，户型方正,",天下川西区 -北塔湖,3室2厅 | 125.74平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 7天以前发布,182,"14,475元/平"
福满苑 一楼不带苑  精装修 没住过  可做婚房,福满苑 -金凤区,3室1厅 | 116.8平米 | 南 北 | 精装 | 低楼层(共20层)  | 塔楼,0人关注 / 6天以前发布,108,"9,247元/平"
金凤区 七子连湖旁 精装四居 拎包入住,中海国际社区 -七子连湖,4室2厅 | 138.45平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 7个月以前发布,135,"9,751元/平"
宗睦巷新上好房，业主诚意出售！,宗睦巷113号 -市医院,2室1厅 | 61.58平米 | 东 西 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,29.95,"4,864元/平"
满2年无大税，户型方正南北通透，视野采光好,阅海湾新华联广场 -大阅城,3室2厅 | 120.88平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 一年前发布,159.9,"13,228元/平"
中房牡丹园  价格可谈 诚心出售,中房·牡丹园 -北塔湖,4室3厅 | 219.49平米 | 南 北 | 精装 | 低楼层(共9层)  | 板楼,0人关注 / 5个月以前发布,200,"9,113元/平"
金凤区森林半岛精装下跃带全屋家具家电！,森林半岛 -森林公园,4室3厅 | 158.64平米 | 南 北 | 精装 | 低楼层(共5层)  | 板楼,31人关注 / 一年前发布,195,"12,292元/平"
交通便利，距离步行街近有200米,仁义区 -新华街,2室2厅 | 72.13平米 | 南 北 | 简装 | 高楼层(共5层)  | 暂无数据,0人关注 / 一年前发布,32.9,"4,562元/平"
京能天下川临湖上跃 5室 随时看房,天下川东区 -北塔湖,5室2厅 | 243.44平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,3人关注 / 8个月以前发布,295,"12,118元/平"
视野宽阔，出行方便 均价低 业主好说话,凤凰花园A区 -新一中,3室2厅 | 110.31平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,12人关注 / 一年前发布,85,"7,706元/平"
这个房子是军产房，小区安保很好，小区里面很安静,军休所 -新一中,2室2厅 | 77.1平米 | 南 北 | 简装 | 高楼层(共4层)  | 暂无数据,2人关注 / 10个月以前发布,32,"4,151元/平"
观湖别墅 房子无大税 看房方便,中海央墅 -七子连湖,5室3厅 | 352.41平米 | 南 北 | 简装 | 低楼层(共3层)  | 板楼,2人关注 / 10个月以前发布,420,"11,918元/平"
两居室，满五年，交通方便，价格美丽,团结小区 -市医院,2室2厅 | 88.6平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 一年前发布,57,"6,434元/平"
宝湖天下复式 百万精装  新风系统 全屋净水 品质生活,宝湖天下 -宝湖,3室2厅 | 255.45平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 3个月以前发布,286,"11,196元/平"
七子连湖，一楼带院子，满五唯一精装修,中海国际社区 -七子连湖,3室2厅 | 148.66平米 | 南 北 | 精装 | 低楼层(共8层)  | 板楼,0人关注 / 1个月以前发布,190,"12,781元/平"
唐槐园，精装四室，满五唯一，看房方便。,唐槐园 -中山公园,4室2厅 | 126.51平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 5个月以前发布,89,"7,036元/平"
颐和家园，电梯房，3室2厅2卫。,颐和家园 -中山公园,3室2厅 | 142.62平米 | 南 北 | 简装 | 高楼层(共12层)  | 板楼,1人关注 / 9个月以前发布,117,"8,204元/平"
满二年。没大税，中间楼层，配套齐全。,新卫家园 -西门,2室2厅 | 110.29平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,11人关注 / 9个月以前发布,85,"7,707元/平"
此房满五唯一  低楼层 出行方便  配套齐全,宁静园 -中山公园,3室2厅 | 78.87平米 | 南 北 | 精装 | 低楼层(共4层)  | 板塔结合,3人关注 / 一年前发布,79.6,"10,093元/平"
清河街  双全小区    复式结构精装修,清和北街7号 -中山公园,6室2厅 | 154.32平米 | 南 北 | 简装 | 高楼层(共4层)  | 暂无数据,0人关注 / 3个月以前发布,78,"5,055元/平"
国奥村一楼带花园195万301平米观景房,国奥村 -正源南街,6室4厅 | 301.2平米 | 北 南 | 简装 | 低楼层(共18层)  | 平房,15人关注 / 一年前发布,180,"5,977元/平"
满五唯一南北通透  房子前面是银川21小 上学不过马路,人行家属楼 -中山公园,2室2厅 | 66.06平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,2人关注 / 一年前发布,79,"11,959元/平"
此房为联排别墅 带俩车库 业主急售 价格可谈,澳海澜庭 -西夏区,5室2厅 | 235.85平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 暂无数据,1人关注 / 8个月以前发布,176,"7,463元/平"
此房满五唯一  低楼层 出行方便  配套齐全,宁静园 -中山公园,3室2厅 | 78.87平米 | 南 北 | 精装 | 低楼层(共4层)  | 板塔结合,3人关注 / 一年前发布,79.6,"10,093元/平"
颐和家园，电梯房，3室2厅2卫。,颐和家园 -中山公园,3室2厅 | 142.62平米 | 南 北 | 简装 | 高楼层(共12层)  | 板楼,1人关注 / 9个月以前发布,117,"8,204元/平"
湖滨街与中山街交叉口处清秀园，户型南北通透交通便利,清秀园 -中山公园,4室3厅 | 194.51平米 | 南 北 | 简装 | 低楼层(共3层)  | 板楼,1人关注 / 4个月以前发布,125,"6,427元/平"
国奥村一楼带花园195万301平米观景房,国奥村 -正源南街,6室4厅 | 301.2平米 | 北 南 | 简装 | 低楼层(共18层)  | 平房,15人关注 / 一年前发布,180,"5,977元/平"
银川市中医院旁 位置优越  满五无大税 交通便利,前进路208号 -市医院,2室2厅 | 74平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,5人关注 / 一年前发布,37,"5,000元/平"
清秀园5居室上下两层，视野开阔采光好,清秀园 -中山公园,5室3厅 | 240平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,179,"7,459元/平"
精装 满二 无大税， 南北通透，视野宽阔，采光充足,圣雪绒蓝山名邸 -民生,5室2厅 | 198.06平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 4个月以前发布,137.5,"6,943元/平"
民生城市花园 电梯洋房！有阁楼！有露台！,民生城市花园 -民生,4室2厅 | 156平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,124.9,"8,007元/平"
兴庆区 西塔旁 16小边 新材小区低价出售 两室居住方便,新材小区(兴庆区) -市医院,2室1厅 | 53.67平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,15人关注 / 一年前发布,17.5,"3,261元/平"
银帝 紫金新都  18年的新小区 银川本土企业,银帝紫金新都 -新一中,3室2厅 | 128.04平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 3个月以前发布,129.89,"10,145元/平"
附属医院旁精装电梯三居室、业主诚意出售,双怡苑 -新一中,3室2厅 | 130.09平米 | 南 | 精装 | 中楼层(共16层)  | 板楼,5人关注 / 7个月以前发布,79,"6,073元/平"
福星苑  大复式    无大税   业主诚心出售  价格可议,海宝福星苑 -北塔湖,5室3厅 | 203.76平米 | 南 | 精装 | 中楼层(共9层)  | 板楼,16人关注 / 5个月以前发布,129.8,"6,371元/平"
悦海新天地旁碧水蓝天，空间大，采光好,碧水蓝天 -金凤万达,4室2厅 | 144平米 | 南 北 | 其他 | 6层  | 板楼,2人关注 / 4个月以前发布,121,"8,403元/平"
民族北街建设小区小面积住房急售，物美价廉,建设小区 -中山公园,2室2厅 | 63.04平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,20.6,"3,268元/平"
荣华园顶楼复式 无大税 采光好 交通便利,荣华园北区 -紫园,4室2厅 | 204平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,120,"5,883元/平"
房子精装修业主诚心出售，此房带车位小区户型,森林半岛 -森林公园,4室2厅 | 234.15平米 | 南 北 | 精装 | 低楼层(共25层)  | 板楼,0人关注 / 2个月以前发布,345,"14,735元/平"
悠阅城旁中海国际社区 湖景房  品牌精装修,中海国际社区 -七子连湖,4室2厅 | 138.66平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,5人关注 / 4个月以前发布,130,"9,376元/平"
此房满二不唯一，南北通透，精装修，,凯威观湖壹号 -北塔湖,5室2厅 | 273.95平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,10人关注 / 一年前发布,620,"22,632元/平"
森林半岛南北通透 精装修 使用面积大 开放式厨房,森林半岛 -森林公园,4室2厅 | 94.6平米 | 南 北 | 精装 | 高楼层(共5层)  | 板楼,17人关注 / 8个月以前发布,120,"12,685元/平"
北京路中山街 温莎花园 大四居,温莎花园 -北塔湖,4室2厅 | 191.05平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 5个月以前发布,88,"4,607元/平"
宁 夏 大 学 贺兰山路 两室两厅 南北通透,学怡园 -宁夏大学,2室1厅 | 84平米 | 南 北 | 简装 | 高楼层(共5层)  | 板楼,0人关注 / 7个月以前发布,36,"4,286元/平"
中山街 不临不把 小二楼  业兴苑,业兴苑小区 -北塔湖,4室2厅 | 198.92平米 | 南 北 | 简装 | 低楼层(共2层)  | 板楼,5人关注 / 6个月以前发布,160,"8,044元/平"
此房满五唯一，无大税个税，三阳开泰户型，采光好.,捷报家园 -良田,4室2厅 | 167.41平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,9人关注 / 一年前发布,80,"4,779元/平"
新一中片区交通便利配套完善环境美丽好房急售,健康小区(兴庆区) -市医院,2室2厅 | 95.65平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,34.8,"3,639元/平"
枫林湾 ibi旁华府万和城  复式 满两年无大税,华府万和城 -IBI商务中心,4室2厅 | 212平米 | 南 北 | 简装 | 高楼层(共11层)  | 板楼,1人关注 / 一年前发布,149.5,"7,052元/平"
崇信巷低楼层两居室房价格优惠随时可以看房,崇信巷 -中山公园,2室2厅 | 72.04平米 | 东 西 | 简装 | 中楼层(共6层)  | 板楼,3人关注 / 10个月以前发布,29,"4,026元/平"
凤凰北街 海宝西区 户型方正 公摊小,海宝西区 -金凤万达,5室2厅 | 155.3平米 | 北 南 | 精装 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,96,"6,182元/平"
长城中路宁安大街丽园南区三期大平米复式,丽园南区三期 -良田,3室2厅 | 148.36平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,69.8,"4,705元/平"
天然氧吧临湖别墅，有亭院有钓鱼台，精装修无大税,森林公园首府 -森林公园,6室2厅 | 328.7平米 | 南 北 | 精装 | 2层  | 板楼 | 双拼别墅 ,0人关注 / 2个月以前发布,585,"17,798元/平"
北塔湖旁，大平层，采光好，出行方便,太阳都市花园 -北塔湖,4室2厅 | 167.59平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 板楼,23人关注 / 8个月以前发布,94.5,"5,639元/平"
良田大卖场长城中路旁复式，精装修,华雁湖畔B区 -良田,4室3厅 | 191.08平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,135,"7,066元/平"
长城中路宁安大街丽园南区三期大平米复式,丽园南区三期 -良田,3室2厅 | 148.36平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,69.8,"4,705元/平"
清河坊复式三层，使用面积186平左右，再带30平洗衣房.,澳海清河坊 -北塔湖,5室2厅 | 93.01平米 | 南 北 | 精装 | 高楼层(共13层)  | 板楼,0人关注 / 3个月以前发布,158,"16,988元/平"
低楼层，经典大三居，户型好，适合老人小孩居住,工行家属院 -未知商圈,3室2厅 | 76.78平米 | 东 西 | 简装 | 低楼层(共3层)  | 暂无数据,17人关注 / 一年前发布,32,"4,168元/平"
湖滨花园，小区内有健身器材，适合老人学生，居家居住,湖滨花园(兴庆区) -中山公园,2室2厅 | 91.74平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 6个月以前发布,47,"5,124元/平"
北塔湖 旁中房粹园毛坯房  大平层,中房粹园 -北塔湖,4室2厅 | 172.54平米 | 南 | 其他 | 中楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,325.6,"18,871元/平"
苏杭名苑二连三叠墅，户型好，精致装修,苏杭名苑 -金凤区,2室2厅 | 171平米 | 南 北 | 其他 | 低楼层(共3层)  | 板楼,0人关注 / 27天以前发布,180,"10,527元/平"
颐海苑 2室2厅 南 北,颐海苑 -新华联,2室2厅 | 86.39平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,54,"6,251元/平"
海珀兰轩一区六层洋房中间楼层 满二无大税,海珀·兰轩 -大阅城,3室2厅 | 128.11平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,200,"15,612元/平"
新华商圈中房好房，精装大三居，配套广,东城人家 -南门,3室2厅 | 118.6平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 27天以前发布,93,"7,842元/平"
"阅海湾商务区旁,精装修婚房，业主诚意出售，户型方正",阅海湾新华联广场 -大阅城,3室2厅 | 141.46平米 | 南 北 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 29天以前发布,149,"10,534元/平"
兴庆天山熙湖悦然居旁金盛阅景大三居精装带家具家电,金盛阅景 -贺兰县,3室2厅 | 135平米 | 南 北 | 其他 | 中楼层(共11层)  | 板楼,0人关注 / 25天以前发布,107,"7,926元/平"
城北三居精装房  保养如新可做婚房 楼层采光可观景,恒大御景半岛 -海亮,3室2厅 | 124.41平米 | 南 北 | 精装 | 高楼层(共17层)  | 塔楼,0人关注 / 28天以前发布,142,"11,414元/平"
宝湖花园 精装大四室 可拎包入住,宝湖花园 -良田,4室2厅 | 154.76平米 | 南 北 | 精装 | 高楼层(共24层)  | 板楼,0人关注 / 26天以前发布,172,"11,114元/平"
此房满五，中间楼层，采光通风良好,广夏花园 -市医院,3室2厅 | 153.69平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 26天以前发布,88,"5,726元/平"
金宇名庭 精装大三居两卫 装修保持良好 无大税,金宇名庭北区 -良田,3室2厅 | 143.48平米 | 南 北 | 其他 | 低楼层(共19层)  | 板楼,0人关注 / 18天以前发布,130,"9,061元/平"
房东诚意出售，简装四楼，视野宽阔，采光充足,高台银河小区 -兴庆区,3室1厅 | 85.47平米 | 东 西 | 其他 | 中楼层(共5层)  | 板楼,0人关注 / 26天以前发布,44.6,"5,219元/平"
南北通透、户型方正、采光好、交通方便,红运新村 -南门,2室2厅 | 66.52平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 17天以前发布,32.6,"4,901元/平"
此房正常出售， 看房方便，各位同事多多推荐哈。,满春家园 -丽景北街,3室2厅 | 89.04平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 19天以前发布,45,"5,054元/平"
正源街 ，南北通透田字户 采光好位置，安静随时看房,信用社家属楼 -紫园,2室2厅 | 71.17平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,1人关注 / 26天以前发布,36,"5,059元/平"
北京路  唐徕渠旁  二楼三室  采光无遮挡  南北通透,大地世纪小区 -金凤万达,3室2厅 | 132.39平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 26天以前发布,121.5,"9,178元/平"
附院江南水乡电梯4楼中等装修22,江南水乡·景园B区 -新一中,3室2厅 | 131.27平米 | 南 北 | 其他 | 中楼层(共11层)  | 板楼,0人关注 / 30天以前发布,84.5,"6,438元/平"
带小院带车库别墅诚意出售..........,宏基花园 -贺兰县,7室3厅 | 335平米 | 南 北 | 其他 | 低楼层(共3层)  | 板楼,0人关注 / 18天以前发布,158,"4,717元/平"
北塔湖旁 精装5居 视野宽阔 采光充足 配套全,海宝西区 -金凤万达,5室2厅 | 229.88平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 17天以前发布,138,"6,004元/平"
二连三叠墅 利用率高 楼栋位置好,苏杭名苑 -金凤区,2室2厅 | 171.09平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 板楼,0人关注 / 2天以前发布,102,"5,962元/平"
房子满五不唯一，精装修拎包入住，中间楼层。,瑞景嘉园 -森林公园,2室1厅 | 89.13平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,69,"7,742元/平"
新一中陪读一室一厅公寓出售.独立卧室带全部家具家电,康晨一品公寓 -新一中,1室1厅 | 57.37平米 | 北 | 精装 | 中楼层(共13层)  | 塔楼,0人关注 / 26天以前发布,37,"6,450元/平"
未来城旁紫馨苑小区  南北 通透户型  无大税随时看房,紫馨苑 -金凤新华联广场,2室2厅 | 89.62平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 25天以前发布,62,"6,919元/平"
瑞祥苑 两室两厅出售 同心路 交通便利 购物方便,瑞祥苑 -西夏区怀远路,2室2厅 | 81.03平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,0人关注 / 26天以前发布,45,"5,554元/平"
万达精装温馨两居价格公道无大税,万达华宅二期 -西夏万达,2室2厅 | 90.23平米 | 南 北 | 精装 | 低楼层(共31层)  | 板塔结合,0人关注 / 27天以前发布,68,"7,537元/平"
福州街 紫馨苑 两居室南北通透 有钥匙随时看,紫馨苑 -金凤新华联广场,2室1厅 | 62.25平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 26天以前发布,34.5,"5,543元/平"
城南 建发优悦城旁  五里湖畔 精装修 拎包入住,五里湖畔 -正源南街,2室1厅 | 69.83平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 22天以前发布,46,"6,588元/平"
小区地处福州街，不把不临，两室一厅 ，可拎包入住。,紫馨苑 -金凤新华联广场,2室1厅 | 74.65平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 26天以前发布,46.5,"6,230元/平"
格局好。房子重新装修，业主诚心出售,立新小区 -中山公园,2室2厅 | 62平米 | 南 北 | 精装 | 低楼层(共5层)  | 板楼,0人关注 / 18天以前发布,50,"8,065元/平"
户型方正，精品小两居，低楼层，实在少有,颐园小区南区 -丽景南街,2室1厅 | 73.32平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 27天以前发布,46.8,"6,383元/平"
北塔湖旁 简装2居 视野宽阔 采光充足 配套全,海宝西区 -金凤万达,2室1厅 | 108.6平米 | 南 | 简装 | 低楼层(共15层)  | 板楼,0人关注 / 24天以前发布,68,"6,262元/平"
景墨家园 中间楼层 好户型 拎包住,景墨家园尚书房 -北塔湖,2室2厅 | 88.45平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 19天以前发布,74.8,"8,457元/平"
精装修  满二年  无大税   产权清晰  价格合适,中海熙岸 -七子连湖,2室1厅 | 83.54平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 25天以前发布,71,"8,499元/平"
居安苑东区南北通透.交通便利购物方便,居安苑 -贺兰县,2室2厅 | 93平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 26天以前发布,43,"4,624元/平"
步梯二楼，精装修，未住人，无大税,太阳城F区 -贺兰县,2室2厅 | 96.57平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 19天以前发布,53.8,"5,572元/平"
，公寓面向北，采光好视野开阔，小区绿化好，交通f..,新材·紫云华庭 -金凤万达,1室1厅 | 73.98平米 | 北 | 精装 | 低楼层(共15层)  | 塔楼,0人关注 / 20天以前发布,48,"6,489元/平"
剑桥郡28楼。保持干净。没有大税,永泰剑桥郡 -南门,2室1厅 | 78.98平米 | 南 北 | 简装 | 高楼层(共33层)  | 板楼,0人关注 / 26天以前发布,62,"7,851元/平"
橙郡好房出售   业主诚心出售   价格好商量,中海国际社区橙郡 -七子连湖,2室1厅 | 86平米 | 南 | 简装 | 低楼层(共34层)  | 板楼,0人关注 / 28天以前发布,66,"7,675元/平"
满五唯一，中间楼层，采光好，教育资源丰富。,湖滨小区 -中山公园,2室1厅 | 59.61平米 | 南 北 | 简装 | 中楼层(共4层)  | 板楼,0人关注 / 28天以前发布,50,"8,388元/平"
房子精装修，保持良好，满五唯一，换房急售，,紫馨苑 -金凤新华联广场,2室1厅 | 67.36平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 19天以前发布,30.7,"4,558元/平"
房子满五唯一，中间楼层，适合老人小孩,中岗楼小区 -森林公园,1室1厅 | 53.8平米 | 东 西 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 17天以前发布,20,"3,718元/平"
南北通透，经典户型，精装好房推荐。,新琇苑 -森林公园,2室2厅 | 88.98平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 29天以前发布,60,"6,744元/平"
同心路七小朔方小区 看房方便 诚心出售,朔方小区 -同心路,2室1厅 | 68.81平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 18天以前发布,22,"3,198元/平"
银川商城   展览馆小区     中间楼层大四居,展览馆小区 -新华街,4室2厅 | 144.6平米 | 南 北 | 其他 | 中楼层(共7层)  | 板塔结合,0人关注 / 一年前发布,122,"8,438元/平"
前进小区配套完善交通便利房子出售,前进小区 -市医院,3室2厅 | 111平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,85,"7,658元/平"
西夏区西夏万达精装公寓 所处位置好 出行方便,万达广场 -西夏万达,2室1厅 | 92.2平米 | 南 | 其他 | 中楼层(共28层)  | 板楼,0人关注 / 18天以前发布,63,"6,833元/平"
天鹅湖小镇别墅电梯毛坯425.71平米372万,天鹅湖小镇 -海亮,5室2厅 | 425.71平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 板楼,11人关注 / 11个月以前发布,370,"8,692元/平"
中山公园旁如意苑 123平电梯三居92万 邻公园区政府,如意苑一区 -中山公园,3室2厅 | 123平米 | 西北 | 其他 | 中楼层(共11层)  | 板楼,10人关注 / 11个月以前发布,80,"6,505元/平"
