c_area,decoration,greenland,open_date,has_short_video,gdp,metro,urban_district_population,urban_population,min_frame_area,bus,c_water_resources,is_cooperation,latitude,green_space_and_square,shopping,near_main_road,max_frame_rooms,big_block,region,longitude,urban_district_temporary_population,max_frame_area,biz,reference_unit_price
1055.79,0,0,44975,0,19916.98,0,1127.0,931.29,114,0,1222300,2,30.73,159.0,0,0,4,0,4,103.99,289.8,132,0,24500
1055.79,1,0,558,1,19916.98,0,1127.0,931.29,41,0,1222300,2,30.81,159.0,0,0,2,0,4,104.09,289.8,51,0,6100
1055.79,0,1,44975,0,19916.98,0,1127.0,931.29,89,0,1222300,2,30.71,159.0,0,0,4,0,4,104.13,289.8,126,0,22800
1055.79,1,0,178,0,19916.98,0,1127.0,931.29,89,0,1222300,2,30.39,159.0,0,0,4,1,4,104.09,289.8,161,0,21000
444.04,0,0,610,0,7825.95,0,414.2,353.77,90,0,579600,2,39.01,129.88,0,1,3,0,0,121.53,25.0,138,0,18500
444.04,0,0,512,1,7825.95,0,414.2,353.77,83,0,579600,2,38.87,129.88,0,1,3,0,0,121.53,25.0,122,1,30000
444.04,0,0,535,0,7825.95,0,414.2,353.77,83,1,579600,2,39.11,129.88,0,1,4,0,0,121.71,25.0,125,0,12000
444.04,0,0,560,0,7825.95,0,414.2,353.77,80,0,579600,2,38.99,129.88,0,1,4,0,0,121.47,25.0,129,0,16500
444.04,1,0,1645,1,7825.95,0,414.2,353.77,63,1,579600,0,39.02,129.88,1,0,2,0,0,121.82,25.0,85,0,10500
444.04,0,0,1053,1,7825.95,1,414.2,353.77,54,1,579600,2,39.06,129.88,1,0,2,0,0,121.87,25.0,96,0,12500
444.04,1,0,627,1,7825.95,0,414.2,353.77,47,0,579600,2,38.83,129.88,0,0,2,0,0,121.19,25.0,96,0,6000
444.04,1,0,1329,0,7825.95,0,414.2,353.77,81,0,579600,2,38.8,129.88,1,0,4,0,0,121.23,25.0,133,0,4700
444.04,1,0,1236,1,7825.95,0,414.2,353.77,96,1,579600,2,38.92,129.88,0,0,3,0,0,121.49,25.0,162,0,33000
